@RELATION music_genre
@ATTRIBUTE RMS_MEAN_TIME NUMERIC
@ATTRIBUTE PAR_MEAN_TIME NUMERIC
@ATTRIBUTE ZCR_MEAN_TIME NUMERIC
@ATTRIBUTE MAD_MEAN_TIME NUMERIC
@ATTRIBUTE MEAN_AD_MEAN_TIME NUMERIC
@ATTRIBUTE RMS_STD_TIME NUMERIC
@ATTRIBUTE PAR_STD_TIME NUMERIC
@ATTRIBUTE ZCR_STD_TIME NUMERIC
@ATTRIBUTE MAD_STD_TIME NUMERIC
@ATTRIBUTE MEAN_AD_STD_TIME NUMERIC
@ATTRIBUTE SC_MEAN_SPECTRAL NUMERIC
@ATTRIBUTE SRO_MEAN_SPECTRAL NUMERIC
@ATTRIBUTE SFM_MEAN_SPECTRAL NUMERIC
@ATTRIBUTE PARFFT_MEAN_SPECTRAL NUMERIC
@ATTRIBUTE FLUX_MEAN_SPECTRAL NUMERIC
@ATTRIBUTE SC_STD_SPECTRAL NUMERIC
@ATTRIBUTE SRO_STD_SPECTRAL NUMERIC
@ATTRIBUTE SFM_STD_SPECTRAL NUMERIC
@ATTRIBUTE PARFFT_STD_SPECTRAL NUMERIC
@ATTRIBUTE FLUX_STD_SPECTRAL NUMERIC
@ATTRIBUTE MFCC_0 NUMERIC
@ATTRIBUTE MFCC_1 NUMERIC
@ATTRIBUTE MFCC_2 NUMERIC
@ATTRIBUTE MFCC_3 NUMERIC
@ATTRIBUTE MFCC_4 NUMERIC
@ATTRIBUTE MFCC_5 NUMERIC
@ATTRIBUTE MFCC_6 NUMERIC
@ATTRIBUTE MFCC_7 NUMERIC
@ATTRIBUTE MFCC_8 NUMERIC
@ATTRIBUTE MFCC_9 NUMERIC
@ATTRIBUTE MFCC_10 NUMERIC
@ATTRIBUTE MFCC_11 NUMERIC
@ATTRIBUTE MFCC_12 NUMERIC
@ATTRIBUTE MFCC_13 NUMERIC
@ATTRIBUTE MFCC_14 NUMERIC
@ATTRIBUTE MFCC_15 NUMERIC
@ATTRIBUTE MFCC_16 NUMERIC
@ATTRIBUTE MFCC_17 NUMERIC
@ATTRIBUTE MFCC_18 NUMERIC
@ATTRIBUTE MFCC_19 NUMERIC
@ATTRIBUTE MFCC_20 NUMERIC
@ATTRIBUTE MFCC_21 NUMERIC
@ATTRIBUTE MFCC_22 NUMERIC
@ATTRIBUTE MFCC_23 NUMERIC
@ATTRIBUTE MFCC_24 NUMERIC
@ATTRIBUTE MFCC_25 NUMERIC
@ATTRIBUTE MFCC_26 NUMERIC
@ATTRIBUTE MFCC_27 NUMERIC
@ATTRIBUTE MFCC_28 NUMERIC
@ATTRIBUTE MFCC_29 NUMERIC
@ATTRIBUTE MFCC_30 NUMERIC
@ATTRIBUTE MFCC_31 NUMERIC
@ATTRIBUTE MFCC_32 NUMERIC
@ATTRIBUTE MFCC_33 NUMERIC
@ATTRIBUTE MFCC_34 NUMERIC
@ATTRIBUTE MFCC_35 NUMERIC
@ATTRIBUTE MFCC_36 NUMERIC
@ATTRIBUTE MFCC_37 NUMERIC
@ATTRIBUTE MFCC_38 NUMERIC
@ATTRIBUTE MFCC_39 NUMERIC
@ATTRIBUTE MFCC_40 NUMERIC
@ATTRIBUTE MFCC_41 NUMERIC
@ATTRIBUTE MFCC_42 NUMERIC
@ATTRIBUTE MFCC_43 NUMERIC
@ATTRIBUTE MFCC_44 NUMERIC
@ATTRIBUTE MFCC_45 NUMERIC
@ATTRIBUTE MFCC_46 NUMERIC
@ATTRIBUTE MFCC_47 NUMERIC
@ATTRIBUTE MFCC_48 NUMERIC
@ATTRIBUTE MFCC_49 NUMERIC
@ATTRIBUTE MFCC_50 NUMERIC
@ATTRIBUTE MFCC_51 NUMERIC
@ATTRIBUTE class {blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock}

@DATA

0.173572,2.785011,0.115217,0.122766,0.141102,0.049868,0.327726,0.041342,0.038273,0.041545,76.481799,129.169970,0.165456,10.269366,174.926336,16.305520,30.253088,0.050861,2.637060,83.800239,39.915147,-4.788112,-9.131683,-0.993265,-0.030964,-2.218099,-3.300287,1.332589,0.617295,-0.122602,-0.061184,1.952493,0.296656,-0.729298,-0.729938,0.371922,-0.106976,-0.395334,-0.130012,0.556020,0.309522,0.224245,0.167755,0.557573,0.250243,0.299882,20.433588,4.079776,2.850770,2.354029,3.740627,2.465585,3.100692,1.818767,2.054419,2.097700,2.851362,2.122015,1.466057,1.456040,1.733691,1.654180,1.382258,1.251440,1.056336,0.969079,1.120460,0.888623,0.839942,0.936979,0.909365,0.907302,classical
0.088152,3.420472,0.115632,0.065947,0.072457,0.066448,1.702025,0.105983,0.054333,0.056033,129.227546,255.394537,0.408152,11.772379,108.857399,57.003583,94.097884,0.170754,4.159665,187.439958,6.811097,-17.558889,-5.163136,1.856123,1.069434,0.837010,0.274943,0.560599,0.465810,1.399260,1.044381,0.722175,0.521245,0.480537,0.534520,0.558654,0.406403,0.693656,1.198219,1.080316,0.423819,0.149629,-0.123657,-0.209558,-0.364358,-0.287275,54.249635,7.335701,5.074137,3.461259,2.576763,2.097316,1.896249,1.641072,1.547172,1.570816,1.542705,1.345824,1.236237,1.121216,1.125388,1.302543,1.242728,1.154703,1.140566,1.107141,1.059748,0.925320,0.688370,0.716239,0.779023,0.695560,hiphop
0.151407,3.630743,0.214033,0.101225,0.120366,0.138719,1.286092,0.136374,0.120122,0.120669,170.734125,320.710926,0.503671,9.692472,244.871731,64.057371,99.391002,0.168920,3.622178,292.517549,38.986383,-20.558483,-2.669978,-2.103077,-2.795224,-2.715367,-1.070221,-1.616006,-1.247162,-0.545155,-0.417948,-0.695180,-0.561036,-0.339322,-0.062802,0.306379,-0.171432,0.067823,-0.147859,-0.277270,-0.097895,-0.118452,-0.294880,-0.230979,-0.080469,0.107496,32.535554,7.960718,6.296626,3.997604,3.618136,3.408049,2.729212,2.013879,1.885344,1.607025,1.508141,1.494720,1.553104,1.622047,1.488553,1.296831,1.482638,1.306278,1.470595,1.289253,0.987035,1.086808,0.841933,0.874471,0.890349,0.712080,hiphop
0.264148,2.816447,0.097208,0.172837,0.210451,0.149044,1.794448,0.055825,0.113127,0.123984,98.650870,199.667678,0.339085,9.561195,322.228028,39.932386,85.041177,0.153475,3.775445,327.997460,31.005150,-12.591712,-4.568846,0.042731,-0.080608,-1.201972,-0.281429,0.841061,-0.548712,-0.084651,-0.184551,-0.315243,-0.044375,0.042518,0.025354,0.348028,-0.146315,-0.492155,-0.347627,-0.384383,-0.185886,0.030450,-0.006094,0.112664,-0.022236,-0.125284,88.646529,4.167842,4.897521,3.807261,2.676270,2.942781,1.890975,1.900849,1.809793,1.570306,1.598274,1.346353,1.254193,1.225004,1.089490,0.905166,0.927899,0.890971,0.775616,0.700364,0.622874,0.689552,0.731389,0.690071,0.728591,0.617863,hiphop
0.180553,3.106438,0.111461,0.118122,0.143629,0.102477,0.810604,0.115424,0.070098,0.082557,120.702650,264.791351,0.374670,11.195219,193.697330,60.551771,116.676893,0.158226,3.045453,214.344338,36.023955,-12.860588,2.875036,-2.145349,-1.288568,-1.179570,0.169569,-0.657162,-0.324476,-0.257924,-0.072080,-0.433947,-0.178865,-0.927463,0.071528,-0.034916,0.009669,-0.327290,0.578816,-0.342955,0.452210,0.459299,0.093606,0.525415,-0.282034,0.264233,24.791803,6.946051,5.775500,4.145677,3.281813,3.362813,3.046704,2.308938,2.036858,1.948964,1.761058,1.502704,1.196643,1.224734,1.263720,1.132850,1.090543,1.086507,1.137540,1.066929,1.153124,1.029868,0.928458,0.948853,1.058484,0.846750,hiphop
0.128185,2.872954,0.103203,0.090387,0.104198,0.106947,0.604622,0.120455,0.085666,0.090289,107.088198,228.978756,0.295292,11.674660,107.170383,66.773675,136.892162,0.154966,2.572636,145.484756,22.401063,-8.948293,4.705330,-2.283915,-1.249314,-3.151927,-0.076814,-1.223463,-0.607368,1.401280,0.533272,0.541225,0.500671,-0.520902,-0.986407,-0.268791,-0.475514,-0.718256,-0.097119,-0.296937,-0.068758,-0.321241,-0.363551,0.012694,0.038372,-0.098060,27.381027,8.283246,4.774408,3.244693,2.789782,3.036754,2.541632,1.952837,2.183393,2.193559,1.660594,1.753765,1.451217,1.439212,1.317113,1.256666,1.220875,1.231304,1.300724,0.930970,0.997089,1.014755,1.033208,0.704735,0.975911,0.882764,hiphop
0.180674,3.147829,0.119406,0.126756,0.146143,0.117186,0.872582,0.075373,0.097525,0.099684,122.621549,253.264036,0.430260,11.184990,219.953418,39.576951,73.941402,0.131107,3.341257,212.023252,45.879870,-14.549203,-2.149860,1.265617,-0.071369,-0.535774,0.164772,0.054069,0.886364,0.642286,0.517488,-0.013237,-0.114286,-0.199131,-0.372367,-0.200904,-0.411570,0.175969,-0.121340,0.275732,0.360305,0.048175,-0.094549,-0.069236,-0.243663,0.027299,19.729035,5.175407,3.707919,3.803292,3.443504,2.367559,2.127792,2.125073,1.810415,1.492459,1.515029,1.317065,1.166278,1.077012,1.160334,1.048096,1.063621,1.081474,0.962314,0.911277,0.893692,0.836484,0.767100,0.761986,0.798843,0.652447,hiphop
0.245497,2.806827,0.101780,0.184464,0.203881,0.100583,0.714618,0.082388,0.085411,0.086259,127.914501,268.504552,0.403697,13.599428,265.863769,48.081263,79.805699,0.138642,3.019035,219.075139,47.524024,-16.995665,-0.897984,2.505865,1.846655,1.041751,1.172737,1.936440,0.778940,1.278442,1.673402,0.396084,0.692310,0.276125,0.336826,0.982695,0.048367,-0.205913,0.067631,0.270374,-0.162149,-0.103750,-0.255694,0.012237,-0.043049,0.082205,17.523881,5.881088,4.716288,3.178047,2.915162,2.174593,2.213225,1.994974,1.793546,1.575591,1.623399,1.529761,1.424557,1.345703,1.291277,1.329441,1.119791,1.092199,1.011584,1.018199,0.978806,1.076448,0.969562,0.731986,0.914534,0.767104,hiphop
0.132932,2.864880,0.061700,0.089966,0.107290,0.094410,0.590087,0.045480,0.067826,0.076438,78.997784,164.383915,0.264776,11.948883,111.672978,43.479504,101.354700,0.157688,2.700938,154.006781,27.178182,-5.863097,-2.233716,-1.001497,0.826926,-0.223631,0.820164,1.155653,1.350728,1.188120,0.712584,0.402754,0.938870,0.305593,-0.542628,0.525811,-0.358338,-0.496112,-0.636214,-0.006996,-0.165913,-0.350774,-0.067471,-0.011834,-0.022845,-0.148681,18.790263,7.282971,4.198665,2.985309,2.131561,2.155331,2.039011,1.719360,1.783122,1.248999,1.135357,1.146641,1.068101,1.056656,1.141482,1.093236,0.928531,0.766555,0.757349,0.739593,0.586898,0.727315,0.678004,0.601831,0.615010,0.582539,hiphop
